id,relationship_type_id,person1_id,person2_id
418,1,2295,2380
419,1,2295,2721
420,1,2295,2722
421,1,2296,2575
422,1,2296,322
423,1,2296,2607
424,1,2296,2309
425,1,2296,2647
426,1,2296,2344
427,1,2296,2346
428,1,2296,2679
429,1,2296,2680
430,1,2296,2371
431,1,2296,2372
432,1,2296,2380
433,1,2296,2721
434,1,2296,2722
435,1,2296,2771
436,1,2587,2554
437,1,2587,2555
438,1,2587,81
439,1,2587,2557
440,1,2587,2558
441,1,2587,2563
442,1,2587,2583
443,1,2587,2299
444,1,2587,2596
445,1,2587,2737
446,1,2587,2738
447,1,2587,2739
448,1,2299,2587
449,1,2591,2380
450,1,2591,2794
451,1,2591,2850
452,1,249,80
453,1,249,2555
454,1,2592,80
455,1,2592,2684
456,1,2592,2796
457,1,2592,2797
458,1,2592,2442
459,1,2592,2837
460,1,2300,80
461,1,2300,2709
462,1,2300,2442
463,1,2301,2271
464,1,2301,2575
465,1,2301,2583
466,1,2301,322
467,1,2301,2607
468,1,2301,2309
469,1,2301,2526
470,1,2301,2527
471,1,2301,2528
472,1,2301,2529
473,1,2301,730
474,1,2301,731
475,1,2301,2658
476,1,2301,2342
477,1,2301,2351
478,1,2301,776
479,1,2301,2353
480,1,2301,2675
481,1,2301,853
482,1,2301,2721
483,1,2301,2722
484,1,2301,2732
485,1,2301,2762
486,1,2301,2763
487,1,2301,2764
488,1,2301,2765
489,1,2301,2766
490,1,2301,2768
491,1,2301,2769
492,1,2301,2542
493,1,2301,2875
494,1,2301,2211
495,1,2593,322
496,1,2593,2607
497,1,2593,2309
498,1,2593,2625
499,1,2593,2526
500,1,2593,2527
501,1,2593,2528
502,1,2593,2529
503,1,2593,730
504,1,2593,731
505,1,2593,2658
506,1,2593,2342
507,1,2593,2351
508,1,2593,776
509,1,2593,2353
510,1,2593,2675
511,1,2593,853
512,1,2593,2721
513,1,2593,2722
514,1,2593,2732
515,1,2593,2762
516,1,2593,2763
517,1,2593,2764
518,1,2593,2765
519,1,2593,2766
520,1,2593,2768
521,1,2593,2769
522,1,2593,2542
523,1,2593,2875
524,1,2593,2211
525,1,2302,2575
526,1,2302,2594
527,1,2302,2629
528,1,2302,730
529,1,2302,731
530,1,2302,2658
531,1,2302,2342
532,1,2302,2535
533,1,2302,2724
534,1,2302,1216
535,1,2302,2732
536,1,2302,2769
537,1,2302,2542
538,1,2594,2575
539,1,2594,2302
540,1,2594,322
541,1,2594,2607
542,1,2594,2309
543,1,2594,2625
544,1,2594,2526
545,1,2594,2527
546,1,2594,2528
547,1,2594,2529
548,1,2594,730
549,1,2594,731
550,1,2594,2658
551,1,2594,2342
552,1,2594,2351
553,1,2594,776
554,1,2594,2353
555,1,2594,2675
556,1,2594,853
557,1,2594,2721
558,1,2594,2722
559,1,2594,2732
560,1,2594,2762
561,1,2594,2763
562,1,2594,2764
563,1,2594,2765
564,1,2594,2766
565,1,2594,2768
566,1,2594,2769
567,1,2594,2542
568,1,2594,2875
569,1,2594,2211
570,1,2595,2285
571,1,2595,2295
572,1,2596,2587
573,1,2599,2864
574,1,2599,2877
575,1,2600,2548
576,1,2600,2303
577,1,2303,2600
578,1,2601,2826
579,1,2603,2331
580,1,2603,1216
581,1,2603,2427
582,1,2603,2428
583,1,2604,2615
584,1,2604,2673
585,1,2604,2360
586,1,2604,2760
587,1,2604,2424
588,1,2604,2837
589,1,322,2553
590,1,322,2554
591,1,322,2518
592,1,322,2565
593,1,322,2285
594,1,322,2580
595,1,322,2295
596,1,322,2296
597,1,322,2301
598,1,322,2593
599,1,322,2594
600,1,322,731
601,1,322,2344
602,1,322,2675
603,1,322,2685
604,1,322,2686
605,1,322,2687
606,1,322,2699
607,1,322,2762
608,1,322,2763
609,1,322,2764
610,1,322,2768
611,1,322,2769
612,1,2607,2553
613,1,2607,2554
614,1,2607,2518
